# T_GUT  Mean_rate
1.000000000000000000e+00 2.741766413327481611e-02
6.000000000000000000e+00 1.201623698459500234e-01
1.100000000000000000e+01 2.190751229844855041e-01
1.600000000000000000e+01 2.843065189617599020e-01
2.100000000000000000e+01 3.641210891082078405e-01
2.600000000000000000e+01 4.248773631586644783e-01
3.100000000000000000e+01 4.987241674131613900e-01
3.600000000000000000e+01 5.780534199535956041e-01
4.100000000000000000e+01 6.370788190292079323e-01
4.600000000000000000e+01 6.789650902327868387e-01
5.100000000000000000e+01 7.592150082480348949e-01
5.600000000000000000e+01 7.939640097538871455e-01
6.100000000000000000e+01 8.467547292216495158e-01
6.600000000000000000e+01 8.795914696603943650e-01
7.100000000000000000e+01 9.310498334283204835e-01
7.600000000000000000e+01 9.500931295578055602e-01
8.100000000000000000e+01 9.926892105189190074e-01
8.600000000000000000e+01 1.034852242407446443e+00
9.100000000000000000e+01 1.042820554565518698e+00
9.600000000000000000e+01 1.078579548506158670e+00
1.010000000000000000e+02 1.092232604907306559e+00
1.060000000000000000e+02 1.116898078331171273e+00
1.110000000000000000e+02 1.130056181923418057e+00
1.160000000000000000e+02 1.141061990018584771e+00
1.210000000000000000e+02 1.139490909610558544e+00
1.260000000000000000e+02 1.195952599097782176e+00
1.310000000000000000e+02 1.186776514477579703e+00
1.360000000000000000e+02 1.204415238004817423e+00
1.410000000000000000e+02 1.238331783816761789e+00
1.460000000000000000e+02 1.204303856877439571e+00
1.510000000000000000e+02 1.264155073041744126e+00
1.560000000000000000e+02 1.270666294260979656e+00
1.610000000000000000e+02 1.263054837848867740e+00
1.660000000000000000e+02 1.302633369122519147e+00
1.710000000000000000e+02 1.350287539861447561e+00
1.760000000000000000e+02 1.292779133496714250e+00
1.810000000000000000e+02 1.418878387265962271e+00
1.860000000000000000e+02 1.373910930789560059e+00
1.910000000000000000e+02 1.411979043235837450e+00
1.960000000000000000e+02 1.410426776953811689e+00
2.010000000000000000e+02 1.399649228495501996e+00
2.060000000000000000e+02 1.417832541084487419e+00
2.110000000000000000e+02 1.461017955978794802e+00
2.160000000000000000e+02 1.445366953857950998e+00
2.210000000000000000e+02 1.421520991171632886e+00
2.260000000000000000e+02 1.470778930953640540e+00
2.310000000000000000e+02 1.487107010722622524e+00
2.360000000000000000e+02 1.486948256108333366e+00
2.410000000000000000e+02 1.471393818386073304e+00
2.460000000000000000e+02 1.498314398068070874e+00
2.510000000000000000e+02 1.498897613896949643e+00
2.560000000000000000e+02 1.436675304812845999e+00
2.610000000000000000e+02 1.487647719348721642e+00
2.660000000000000000e+02 1.492685543354385080e+00
2.710000000000000000e+02 1.508760839390095088e+00
2.760000000000000000e+02 1.507178393517754955e+00
2.810000000000000000e+02 1.497487718966278969e+00
2.860000000000000000e+02 1.454105126406699089e+00
2.910000000000000000e+02 1.522622477553164710e+00
2.960000000000000000e+02 1.529890291930653623e+00
3.010000000000000000e+02 1.541794657811899505e+00
3.060000000000000000e+02 1.519850030790032669e+00
3.110000000000000000e+02 1.326081894008864115e+00
3.160000000000000000e+02 1.464517729392886825e+00
3.210000000000000000e+02 1.517707474516592825e+00
3.260000000000000000e+02 1.457200842443507449e+00
3.310000000000000000e+02 1.512179088546878214e+00
3.360000000000000000e+02 1.476389576195185960e+00
3.410000000000000000e+02 1.426916730521949894e+00
3.460000000000000000e+02 1.499521267527348378e+00
3.510000000000000000e+02 1.468468684542010516e+00
3.560000000000000000e+02 1.500972138038968229e+00
3.610000000000000000e+02 1.489999052700498483e+00
3.660000000000000000e+02 1.470961023691976344e+00
3.710000000000000000e+02 1.354566707511540624e+00
3.760000000000000000e+02 1.461879679774856999e+00
3.810000000000000000e+02 1.329207229762150444e+00
3.860000000000000000e+02 1.485154875789628681e+00
3.910000000000000000e+02 1.440784117698234112e+00
3.960000000000000000e+02 1.475991074999873254e+00
4.010000000000000000e+02 1.512918709346662505e+00
4.060000000000000000e+02 1.448273318089227102e+00
4.110000000000000000e+02 1.496556431580717383e+00
4.160000000000000000e+02 1.296463251376219761e+00
4.210000000000000000e+02 1.488054639387899725e+00
4.260000000000000000e+02 1.327913315603405309e+00
4.310000000000000000e+02 1.511420761468240226e+00
4.360000000000000000e+02 1.269892176282895413e+00
4.410000000000000000e+02 1.415387524030657040e+00
4.460000000000000000e+02 1.489587184694346478e+00
4.510000000000000000e+02 1.339146947374476149e+00
4.560000000000000000e+02 1.364187102219523329e+00
4.610000000000000000e+02 1.253329047099772886e+00
4.660000000000000000e+02 1.291983962784882145e+00
4.710000000000000000e+02 1.228906660702240083e+00
4.760000000000000000e+02 1.288756791917532230e+00
4.810000000000000000e+02 1.100246913580246844e+00
4.860000000000000000e+02 1.112013776541052934e+00
4.910000000000000000e+02 1.115866151117935745e+00
4.960000000000000000e+02 1.077866002286503200e+00
