# F_N  Mean_rate
1.000000000000000000e+00 1.009861078164084464e-01
3.000000000000000000e+00 2.047413226748850401e-01
5.000000000000000000e+00 2.576387300170454586e-01
7.000000000000000000e+00 2.937667639426937427e-01
9.000000000000000000e+00 3.059376715185521678e-01
1.100000000000000000e+01 2.999996774983656467e-01
1.300000000000000000e+01 3.068049540992395241e-01
1.500000000000000000e+01 3.055614310670867750e-01
1.700000000000000000e+01 2.960468133756676279e-01
1.900000000000000000e+01 2.869887089882948161e-01
2.100000000000000000e+01 2.813465771735904619e-01
2.300000000000000000e+01 2.800713240708375684e-01
2.500000000000000000e+01 2.707762135787681879e-01
2.700000000000000000e+01 2.447630715581066152e-01
2.900000000000000000e+01 2.346488989336651954e-01
3.100000000000000000e+01 2.415065489871162097e-01
3.300000000000000000e+01 2.288738857318582398e-01
3.500000000000000000e+01 2.093502936494668898e-01
3.700000000000000000e+01 2.077418812888528754e-01
3.900000000000000000e+01 2.003770785367002261e-01
4.100000000000000000e+01 1.940318687866562364e-01
4.300000000000000000e+01 1.978936165695515947e-01
4.500000000000000000e+01 1.962556887469689426e-01
4.700000000000000000e+01 1.917941396450893177e-01
4.900000000000000000e+01 1.720617426839558539e-01
5.100000000000000000e+01 1.740614545655085610e-01
5.300000000000000000e+01 1.704806699467791842e-01
5.500000000000000000e+01 1.730478094946878154e-01
5.700000000000000000e+01 1.632527895268255924e-01
5.900000000000000000e+01 1.474792176946521927e-01
6.100000000000000000e+01 1.456166626068500780e-01
6.300000000000000000e+01 1.540839243535910286e-01
6.500000000000000000e+01 1.489079167478505605e-01
6.700000000000000000e+01 1.313775638887948183e-01
6.900000000000000000e+01 1.320152329580809858e-01
7.100000000000000000e+01 1.392976340057412166e-01
7.300000000000000000e+01 1.545463756542276856e-01
7.500000000000000000e+01 1.321882200551054709e-01
7.700000000000000000e+01 1.348875469830164708e-01
7.900000000000000000e+01 1.350286422631111483e-01
8.100000000000000000e+01 1.327623046181401478e-01
8.300000000000000000e+01 1.336580810523656515e-01
