# T_leave  Mean_rate
1.000000000000000000e+00 1.937401326423270759e-02
3.000000000000000000e+00 4.340674519427475259e-02
5.000000000000000000e+00 6.828913992829960256e-02
7.000000000000000000e+00 9.235797146763666254e-02
9.000000000000000000e+00 1.168828311835699296e-01
1.100000000000000000e+01 1.390858373912794987e-01
1.300000000000000000e+01 1.616850984498726107e-01
1.500000000000000000e+01 1.818721613611685439e-01
1.700000000000000000e+01 2.025019101919670883e-01
1.900000000000000000e+01 2.213275860598146461e-01
2.100000000000000000e+01 2.406383758879691026e-01
2.300000000000000000e+01 2.578406452128514381e-01
2.500000000000000000e+01 2.744472918849954479e-01
2.700000000000000000e+01 2.916767858355414633e-01
2.900000000000000000e+01 3.057457126468779984e-01
3.100000000000000000e+01 3.219932674107179871e-01
3.300000000000000000e+01 3.354866350244714579e-01
3.500000000000000000e+01 3.496982627380699205e-01
3.700000000000000000e+01 3.619373291284860295e-01
3.900000000000000000e+01 3.749078937681332158e-01
4.100000000000000000e+01 3.894868712172516179e-01
4.300000000000000000e+01 4.000834319572652009e-01
4.500000000000000000e+01 4.104388339990555079e-01
4.700000000000000000e+01 4.207931120829886962e-01
4.900000000000000000e+01 4.331180614846476540e-01
5.100000000000000000e+01 4.431507678506106940e-01
5.300000000000000000e+01 4.510380167475205870e-01
5.500000000000000000e+01 4.582386651821385715e-01
5.700000000000000000e+01 4.656317016233829098e-01
5.900000000000000000e+01 4.754188087168631505e-01
6.100000000000000000e+01 4.839301941425787068e-01
6.300000000000000000e+01 4.940068600048269642e-01
6.500000000000000000e+01 5.005383973000580022e-01
6.700000000000000000e+01 5.045394290452358543e-01
6.900000000000000000e+01 5.114255063629651321e-01
7.100000000000000000e+01 5.188926821151368385e-01
7.300000000000000000e+01 5.246927187003750381e-01
7.500000000000000000e+01 5.327557966415511492e-01
7.700000000000000000e+01 5.365916030151167693e-01
7.900000000000000000e+01 5.442419913854276148e-01
8.100000000000000000e+01 5.496830596112121103e-01
8.300000000000000000e+01 5.543014019039647078e-01
8.500000000000000000e+01 5.619889173739359700e-01
8.700000000000000000e+01 5.694555830303009714e-01
8.900000000000000000e+01 5.735103396936969133e-01
9.100000000000000000e+01 5.752204406762180255e-01
9.300000000000000000e+01 5.769689551582499742e-01
9.500000000000000000e+01 5.802459236741860371e-01
9.700000000000000000e+01 5.807446205602913025e-01
9.900000000000000000e+01 5.814133625649111625e-01
1.010000000000000000e+02 5.870436437500577975e-01
1.030000000000000000e+02 5.916370972241671300e-01
1.050000000000000000e+02 5.952447957038741189e-01
1.070000000000000000e+02 5.991401840411855195e-01
1.090000000000000000e+02 6.033542869139025822e-01
1.110000000000000000e+02 6.042796099667733234e-01
1.130000000000000000e+02 6.064135374999388706e-01
1.150000000000000000e+02 6.132646251508800939e-01
1.170000000000000000e+02 6.184980114686019492e-01
1.190000000000000000e+02 6.138987747290171049e-01
1.210000000000000000e+02 6.185468858418585736e-01
1.230000000000000000e+02 6.280273636035419438e-01
1.250000000000000000e+02 6.291022124641455493e-01
1.270000000000000000e+02 6.302223693963205919e-01
1.290000000000000000e+02 6.405636003359271857e-01
1.310000000000000000e+02 6.364741986586592848e-01
1.330000000000000000e+02 6.352749143055801406e-01
1.350000000000000000e+02 6.428971796825069251e-01
1.370000000000000000e+02 6.442226683213522209e-01
1.390000000000000000e+02 6.405402580482383312e-01
1.410000000000000000e+02 6.374317421068106393e-01
1.430000000000000000e+02 6.429503085851363542e-01
1.450000000000000000e+02 6.464655531566446678e-01
1.470000000000000000e+02 6.462369605774016534e-01
1.490000000000000000e+02 6.441901630215711716e-01
1.510000000000000000e+02 6.411873837257886510e-01
1.530000000000000000e+02 6.451789792413644697e-01
1.550000000000000000e+02 6.462917516855919420e-01
1.570000000000000000e+02 6.447939795469270763e-01
1.590000000000000000e+02 6.457026867860096164e-01
1.610000000000000000e+02 6.490359248401544878e-01
1.630000000000000000e+02 6.446772395669920774e-01
1.650000000000000000e+02 6.420015221310279019e-01
1.670000000000000000e+02 6.482097791565466505e-01
1.690000000000000000e+02 6.506256209346072961e-01
1.710000000000000000e+02 6.359221046875110916e-01
1.730000000000000000e+02 6.477423821180802177e-01
1.750000000000000000e+02 6.393645397401737096e-01
1.770000000000000000e+02 6.496896700810179670e-01
1.790000000000000000e+02 6.487284728278158719e-01
1.810000000000000000e+02 6.451018886828976395e-01
1.830000000000000000e+02 6.440498495378419452e-01
1.850000000000000000e+02 6.481329111396050280e-01
1.870000000000000000e+02 6.437538482562115139e-01
1.890000000000000000e+02 6.418270500769900355e-01
1.910000000000000000e+02 6.485319345065602148e-01
1.930000000000000000e+02 6.503462078093211751e-01
1.950000000000000000e+02 6.469034347875923796e-01
1.970000000000000000e+02 6.523039821318123987e-01
1.990000000000000000e+02 6.433765339845943787e-01
2.010000000000000000e+02 6.469873714393865605e-01
2.030000000000000000e+02 6.495336565799469941e-01
2.050000000000000000e+02 6.415616486688486830e-01
2.070000000000000000e+02 6.474191812486138620e-01
2.090000000000000000e+02 6.414314217220423719e-01
2.110000000000000000e+02 6.455760392517195800e-01
2.130000000000000000e+02 6.549664923870536226e-01
2.150000000000000000e+02 6.491002899912070578e-01
2.170000000000000000e+02 6.448289753929394852e-01
2.190000000000000000e+02 6.504322232382833135e-01
2.210000000000000000e+02 6.444696644625659276e-01
2.230000000000000000e+02 6.528931490781736402e-01
2.250000000000000000e+02 6.419446145288636441e-01
2.270000000000000000e+02 6.526454286785974279e-01
2.290000000000000000e+02 6.486467006113525446e-01
2.310000000000000000e+02 6.422428766979085824e-01
2.330000000000000000e+02 6.517151374396569219e-01
2.350000000000000000e+02 6.459180146883817253e-01
2.370000000000000000e+02 6.430810254665967340e-01
2.390000000000000000e+02 6.411734698112463438e-01
2.410000000000000000e+02 6.486920352304024195e-01
2.430000000000000000e+02 6.517168510261774905e-01
2.450000000000000000e+02 6.559440404303168437e-01
2.470000000000000000e+02 6.439044549311198073e-01
2.490000000000000000e+02 6.465893694140051329e-01
2.510000000000000000e+02 6.388854438642442846e-01
2.530000000000000000e+02 6.428825620913258820e-01
2.550000000000000000e+02 6.504214256176766851e-01
2.570000000000000000e+02 6.517410594745640662e-01
2.590000000000000000e+02 6.514455431107718519e-01
2.610000000000000000e+02 6.343776174965236603e-01
2.630000000000000000e+02 6.443568840201325809e-01
2.650000000000000000e+02 6.477127758242581246e-01
2.670000000000000000e+02 6.400232832219462376e-01
2.690000000000000000e+02 6.313108489256740175e-01
2.710000000000000000e+02 6.434176001764647657e-01
2.730000000000000000e+02 6.403841161061196718e-01
2.750000000000000000e+02 6.306206601582035054e-01
2.770000000000000000e+02 6.454514118467123973e-01
2.790000000000000000e+02 6.317923605175277402e-01
2.810000000000000000e+02 6.447023175459367650e-01
2.830000000000000000e+02 6.323061108328980051e-01
2.850000000000000000e+02 6.431148081788955473e-01
2.870000000000000000e+02 6.348628867427208444e-01
2.890000000000000000e+02 6.297392557141521241e-01
2.910000000000000000e+02 6.388698560292841444e-01
2.930000000000000000e+02 6.223205193812153535e-01
2.950000000000000000e+02 6.289115916608791768e-01
2.970000000000000000e+02 6.229950728973716600e-01
2.990000000000000000e+02 6.219115199511496828e-01
3.010000000000000000e+02 6.206884557420212500e-01
3.030000000000000000e+02 6.196080651479820567e-01
3.050000000000000000e+02 6.094767398659801660e-01
3.070000000000000000e+02 6.167873571381478071e-01
3.090000000000000000e+02 6.132875102760818598e-01
3.110000000000000000e+02 6.125973015770672658e-01
3.130000000000000000e+02 6.158753806379071438e-01
3.150000000000000000e+02 6.133474528004336790e-01
3.170000000000000000e+02 6.173374125420287850e-01
3.190000000000000000e+02 6.100311320333202669e-01
3.210000000000000000e+02 6.067520286154548526e-01
3.230000000000000000e+02 5.984038950851291450e-01
3.250000000000000000e+02 6.074109917278477377e-01
3.270000000000000000e+02 6.052130316046240299e-01
3.290000000000000000e+02 6.007742773497393163e-01
3.310000000000000000e+02 6.017055221671169241e-01
3.330000000000000000e+02 5.959632557108875961e-01
3.350000000000000000e+02 5.928933724692193596e-01
3.370000000000000000e+02 5.941574064946537614e-01
3.390000000000000000e+02 5.847624892696066112e-01
3.410000000000000000e+02 5.918101867348569689e-01
3.430000000000000000e+02 5.787418359579226124e-01
3.450000000000000000e+02 5.796197023346911781e-01
3.470000000000000000e+02 5.871112112450345144e-01
3.490000000000000000e+02 5.826358936606628180e-01
3.510000000000000000e+02 5.724539605824537913e-01
3.530000000000000000e+02 5.767704638593145194e-01
3.550000000000000000e+02 5.735569767758245119e-01
3.570000000000000000e+02 5.733498650159227772e-01
3.590000000000000000e+02 5.669146838560281676e-01
3.610000000000000000e+02 5.720535911095263604e-01
3.630000000000000000e+02 5.759671607704877072e-01
3.650000000000000000e+02 5.660590496096539193e-01
3.670000000000000000e+02 5.611303586526983356e-01
3.690000000000000000e+02 5.595953328932063986e-01
3.710000000000000000e+02 5.690620995993778131e-01
3.730000000000000000e+02 5.552516096559175773e-01
3.750000000000000000e+02 5.668745426195695991e-01
3.770000000000000000e+02 5.628924468038938311e-01
3.790000000000000000e+02 5.558632077429678242e-01
3.810000000000000000e+02 5.674552226398523747e-01
3.830000000000000000e+02 5.598900673531470584e-01
3.850000000000000000e+02 5.565948189835219218e-01
3.870000000000000000e+02 5.576939259708184604e-01
3.890000000000000000e+02 5.550897417482826279e-01
3.910000000000000000e+02 5.595937448906146416e-01
3.930000000000000000e+02 5.357404958375695525e-01
3.950000000000000000e+02 5.375889916428709947e-01
3.970000000000000000e+02 5.456315978731163252e-01
3.990000000000000000e+02 5.332162884300176708e-01
4.010000000000000000e+02 5.361850423375557062e-01
4.030000000000000000e+02 5.385501742760735455e-01
4.050000000000000000e+02 5.265545149229904354e-01
4.070000000000000000e+02 5.314982362777695979e-01
4.090000000000000000e+02 5.423649054198352859e-01
4.110000000000000000e+02 5.271115183110237634e-01
4.130000000000000000e+02 5.258769076893246019e-01
4.150000000000000000e+02 5.127488085080212921e-01
4.170000000000000000e+02 5.185961335846429598e-01
4.190000000000000000e+02 5.257291597148521234e-01
4.210000000000000000e+02 5.158549504041616274e-01
4.230000000000000000e+02 5.254942520513693482e-01
4.250000000000000000e+02 5.180282372804858593e-01
4.270000000000000000e+02 5.051327124757778453e-01
4.290000000000000000e+02 5.155008547067095881e-01
4.310000000000000000e+02 5.120026192232079998e-01
4.330000000000000000e+02 5.004606520307663953e-01
4.350000000000000000e+02 5.166724481552813497e-01
4.370000000000000000e+02 5.056913384644499132e-01
4.390000000000000000e+02 5.076411149025004121e-01
4.410000000000000000e+02 5.087451942013407891e-01
4.430000000000000000e+02 5.030945959855606109e-01
4.450000000000000000e+02 4.953525138889516843e-01
4.470000000000000000e+02 5.076915471024382454e-01
4.490000000000000000e+02 4.885541126396930056e-01
4.510000000000000000e+02 4.956033929897360468e-01
4.530000000000000000e+02 4.830424228566657652e-01
4.550000000000000000e+02 4.803541184897920369e-01
4.570000000000000000e+02 5.042224385258806674e-01
4.590000000000000000e+02 4.915600110638100873e-01
4.610000000000000000e+02 4.873165991248576967e-01
4.630000000000000000e+02 4.919501239216995114e-01
4.650000000000000000e+02 4.839076455437505975e-01
4.670000000000000000e+02 4.786358412482126790e-01
4.690000000000000000e+02 4.939193497310684355e-01
4.710000000000000000e+02 4.736225623322796174e-01
4.730000000000000000e+02 4.782285696241822537e-01
4.750000000000000000e+02 4.683062239127339099e-01
4.770000000000000000e+02 4.741254309375866893e-01
4.790000000000000000e+02 4.663009177038671682e-01
4.810000000000000000e+02 4.730429926415699038e-01
4.830000000000000000e+02 4.635589319718940726e-01
4.850000000000000000e+02 4.751877944468955173e-01
4.870000000000000000e+02 4.662553474002654741e-01
4.890000000000000000e+02 4.631187777377228088e-01
4.910000000000000000e+02 4.753954569991038492e-01
4.930000000000000000e+02 4.681858897774651140e-01
4.950000000000000000e+02 4.572605916533318826e-01
4.970000000000000000e+02 4.488287983860058117e-01
4.990000000000000000e+02 4.508492188734115613e-01
